Is_top_5_League,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
0,1,2,1,200,673,38,7629,0,0,203478000
0,1,2,1,97,555,35,8250,0,0,199452000
0,1,2,1,124,340,31,9000,1,0,149589000
0,1,2,0,0,245,25,7414,0,0,74157000
1,1,2,1,70,221,24,9415,0,0,48467000
0,1,1,0,93,377,31,7488,1,0,40977000
0,1,2,1,87,392,30,7750,0,0,35864000
0,1,1,1,70,367,32,7500,1,0,29918000
0,1,2,1,53,361,32,8000,1,0,25624000
0,1,0,0,81,378,28,7495,0,0,24931000
0,1,2,0,29,353,29,7500,1,0,24931000
0,1,2,1,41,281,26,7500,0,0,24835000
0,1,2,1,22,324,29,7500,1,0,24791000
1,1,1,1,105,462,33,7770,1,0,24233000
0,1,2,0,77,444,33,7253,1,0,22741000
1,1,2,1,21,327,30,8864,1,0,22733000
1,1,1,1,101,393,31,8043,1,0,22438000
0,1,0,1,61,281,26,7750,1,0,21940000
1,1,2,1,84,375,30,9247,1,0,21940000
1,1,2,1,166,591,37,8578,1,0,21740000
1,1,2,0,82,352,28,8158,1,0,21225000
1,1,0,0,89,401,31,9325,1,0,21225000
1,1,2,1,24,136,20,8946,1,0,20743000
1,1,2,1,23,195,23,9063,0,0,20743000
1,1,0,1,25,190,23,9406,1,0,20619000
1,1,2,1,99,427,32,9503,0,0,20619000
0,1,2,0,55,434,31,7010,1,0,20020000
0,0,2,1,175,619,36,10000,1,0,19087000
1,1,0,1,56,394,30,8591,1,0,18518000
0,1,0,1,8,272,28,7008,0,0,18364000
1,1,2,1,10,174,25,8100,0,0,18193000
1,1,2,1,71,357,31,7892,1,0,18193000
1,1,2,0,53,241,25,8003,0,0,18193000
1,1,1,1,142,538,35,8922,1,0,17951000
0,1,2,0,2,237,26,7299,0,0,17951000
1,1,1,1,53,234,27,8501,1,0,17649000
1,1,1,1,79,287,28,8745,0,0,17452000
1,1,1,1,120,480,33,7879,0,0,17452000
0,1,0,1,83,393,32,7750,1,0,17286000
1,1,1,1,116,501,37,8100,0,0,16953000
1,1,2,0,23,163,23,7200,1,0,16677000
1,1,2,1,32,280,27,8289,0,0,16374000
1,1,2,1,41,215,24,8019,1,0,15956000
1,1,2,1,33,164,27,8285,1,0,15956000
1,1,2,1,66,487,31,7937,0,0,15945000
0,1,0,1,42,307,28,8000,0,0,15646000
1,1,2,1,102,444,31,9050,1,0,15394000
1,1,2,0,16,147,23,8155,0,0,15161000
1,1,2,1,30,260,27,6789,0,0,15161000
1,1,2,1,82,345,29,9058,0,0,15161000
1,1,2,1,43,208,24,8890,0,0,15161000
